Screening Type(s),Health Screening Location,Name,ID Type,ID Number,Date of Birth,Email Address,Ethnicity (Race),Gender,Personal - Anaemia,Personal - Diabetes Mellitus,Personal - High Blood Pressure,Personal - High Cholesterol/Lipid Disorder,Personal - Heart Disease,Personal - Other Medical/Surgical Conditions,Personal - Current Medications,Family - Diabetes Mellitus,Family - High Cholesterol/Lipid Disorder,Family - High Blood Pressure,Family - Heart Diseases,Family - Other Diseases,Lifestyle - Currently Smoking,Lifestyle - Alcohol,Lifestyle - Exercise,Acknowledged Declaration,Consent to Disclose to Employer/Insurer,Date Signed
Pre/Re Employment,Parkway Shenton Medical Clinic (Metropolis),Tan Nur Aisyah,Passport,A6130048,20/09/1974,aisyah.tan77@icloud.com,Malay,Female,No,No,No,No,No,No,No,No,No,Yes,Yes,No,No,Yes,No,Yes,Yes,04/08/2026
Pre/Re Employment,Shenton Medical Group (Toh Yi),Chan Mei Ling,NRIC/FIN,S7724865J,18/06/1977,ling.chan94@gmail.com,Malay,Female,Yes,Yes,No,Yes,No,No,No,No,No,No,No,No,No,No,No,Yes,Yes,04/08/2026
Pre/Re Employment,Parkway Shenton Medical Clinic (Republic Plaza),Chua Siti,NRIC/FIN,T8563202D,11/12/1963,siti.chua37@hotmail.com,Indian,Female,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,Yes,Yes,04/08/2026
Pre/Re Employment; Free Silica Hazard,Singapore Telecom Clinic,Singh Hafiz,Passport,K9301053,01/12/1995,hafiz.singh18@gmail.com,Chinese,Male,No,Yes,No,Yes,No,No,No,Yes,No,No,No,No,No,No,No,Yes,Yes,04/08/2026
Pre/Re Employment,Parkway Shenton Medical Clinic (Tembeling Centre),Devi Wan Ting,Passport,B6944155,13/11/1985,ting.devi18@hotmail.com,Indian,Female,No,Yes,No,No,No,Yes,No,No,No,No,No,No,Yes,No,No,Yes,Yes,04/08/2026
Pre/Re Employment,Parkway Shenton Medical Group (Pasir Ris Mall),Yeo Nur Aisyah,NRIC/FIN,S7501626C,26/07/2007,aisyah.yeo69@yahoo.com,Asian,Female,No,No,No,Yes,No,No,Yes,No,No,No,No,No,Yes,No,No,Yes,Yes,04/08/2026
IHH Pre/Re Employment,Shenton Medical Group (UE Biz Hub),Teo Sheng Yang,NRIC/FIN,S3564217F,22/12/2006,yang.teo50@yahoo.com,Indian,Male,Yes,No,No,No,No,No,No,Yes,No,No,No,Yes,No,Yes,Yes,Yes,Yes,04/08/2026
IHH Pre/Re Employment,Parkway Shenton Medical Clinic (Bukit Batok Central),Teo Sheng Yang,NRIC/FIN,S7844947B,11/08/1965,yang.teo13@hotmail.com,Chinese,Male,No,No,No,No,No,No,No,Yes,Yes,Yes,No,No,No,No,Yes,Yes,Yes,04/08/2026
Pre/Re Employment,Parkway Shenton Medical Clinic (Tembeling Centre),Wong Sarah,NRIC/FIN,T2437708Z,04/11/1965,sarah.wong50@gmail.com,Others,Female,No,No,No,No,No,Yes,No,No,No,No,Yes,No,No,No,Yes,Yes,Yes,04/08/2026
Pre/Re Employment,Parkway Shenton Medical Clinic (Serangoon North),Sim Wan Ting,NRIC/FIN,T5325249D,02/05/1995,ting.sim23@gmail.com,Indian,Female,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,Yes,04/08/2026
Pre/Re Employment,Parkway Shenton Medical Clinic (Bukit Batok Central),Chua Sarah,NRIC/FIN,T4142605J,23/05/1966,sarah.chua65@outlook.com,Chinese,Female,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,Yes,04/08/2026
Pre/Re Employment,Parkway Shenton Medical Clinic (Republic Plaza),Tan Mei Ling,NRIC/FIN,T9963616C,23/03/1984,ling.tan51@outlook.com,Chinese,Female,No,No,No,No,No,No,No,No,Yes,No,Yes,No,No,No,Yes,Yes,Yes,04/08/2026
IHH Pre/Re Employment; Noise Hazard,Parkway Shenton Medical Clinic (Bukit Panjang Plaza),Teo Nur Aisyah,NRIC/FIN,T2449308I,06/01/1961,aisyah.teo83@outlook.com,Indian,Female,Yes,No,No,No,No,No,Yes,No,Yes,No,Yes,Yes,No,No,Yes,Yes,Yes,04/08/2026
